ClaimNbr,CarBrandCode,CarModel
CLM011A3-6306-000429,TOYOTA,COROLLA
CLM011A3-6306-000433,TOYOTA,ALTIS
CLM011BP-6310-001927,TOYOTA,CORONA 1.6 GLI
CLM0112M-6302-001308,HONDA,<= 125CC
CLM0112M-6302-001312,HONDA,WAVE110i
CLM011BP-6310-001936,TOYOTA,VIGO
CLM011A3-6306-000447,TOYOTA,COROLLA
CLM011A3-6306-000451,TOYOTA,ALTIS
CLM011BP-6310-001945,TOYOTA,VIGO
CLM0112M-6302-001326,HONDA,CBR300
CLM0112M-6302-001330,HONDA,PCX
CLM011BP-6310-001954,TOYOTA,VIGO
CLM011A3-6306-000465,TOYOTA,COROLLA
CLM011BP-6310-001963,HONDA,CR-V
CLM0112M-6302-001344,HONDA,CIVIC ES SEDAN 4DR VTI AUTO 4SP FWD 1.7I
CLM011A3-6306-000479,TOYOTA,COROLLA
CLM011BP-6310-001972,TOYOTA,COROLLA
CLM011A3-6306-000483,HONDA,JAZZ
CLM011BP-6310-001981,NISSAN,TIIDA 1.6
CLM0112M-6302-001358,YAMAHA,XMAX
CLM0112M-6302-001362,KAWASAKI,ER-6NER-6n
CLM011A3-6306-000497,NISSAN,SUNNY
CLM011BP-6310-001990,TOYOTA,MIGHTY X2.5
CLM011A3-6306-000508,HINO,-
CLM0112M-6302-001376,YAMAHA,NMAX
CLM011BP-6310-002000,ISUZU,PICKUP
CLM011A3-6306-000512,ISUZU,TLD56
CLM0112M-6302-001380,HONDA,CLICK125 I
CLM011A3-6306-000526,TOYOTA,ALTIS
CLM0112M-6302-001394,HONDA,WAVE110i
CLM011BP-6310-002019,TOYOTA,HIACE
CLM011BP-6310-002028,NISSAN,TIIDA 1.6
CLM0112M-6302-001405,HONDA,WAVE110i
CLM011A3-6306-000544,TOYOTA,ALTIS
CLM011BP-6310-002037,TOYOTA,COROLLA
CLM0112M-6302-001419,HONDA,FORZA
CLM011BP-6310-002046,ISUZU,PICKUP
CLM0112M-6302-001423,HONDA,CLICK I
CLM011A3-6306-000558,TOYOTA,COROLLA
CLM011A3-6306-000562,ISUZU,DRAGON EYE
CLM011BP-6310-002055,NISSAN,FRONTIER
CLM011BP-6310-002064,NISSAN,BIG M
CLM0112M-6302-001441,KAWASAKI,VERSYS 650 ABS
CLM011A3-6306-000576,ISUZU,NKR 58E
CLM011A3-6306-000580,TOYOTA,COROLLA
CLM011BP-6310-002073,MERCEDES-BENZ,E220
CLM0112M-6302-001455,YAMAHA,GRAND FILANO
CLM011BP-6310-002082,ISUZU,TFR
CLM011A3-6306-000594,TOYOTA,COROLLA
CLM011BP-6310-002091,TOYOTA,VIGO
CLM0112M-6302-001469,HONDA,FORZA
CLM011A3-6306-000605,ISUZU,FTR 33
CLM0112M-6302-001473,YAMAHA,M SLAZ
CLM011BP-6310-002104,ISUZU,SPACECAB SLX 2.5
CLM011A3-6306-000619,TOYOTA,COROLLA
CLM0112M-6302-001487,HONDA,PCX
CLM011BP-6310-002113,ISUZU,TFR
CLM011A3-6306-000623,ISUZU,SPACECAB
CLM0112M-6302-001491,HONDA,PCX
CLM011BP-6310-002122,NISSAN,JUKE
CLM0112M-6302-001502,HONDA,WAVE110i
CLM011A3-6306-000637,ISUZU,NPR 59L
CLM011BP-6310-002131,TOYOTA,TIGER
CLM011A3-6306-000641,TOYOTA,MIGHTY X2.5
CLM0112M-6302-001516,HONDA,WAVE125
CLM011BP-6310-002140,NISSAN,FRONTIER
CLM0112M-6302-001520,YAMAHA,YZF R3
CLM011A3-6306-000655,TOYOTA,ALTIS
CLM0112M-6302-001534,HONDA,CLICK150i
CLM011BP-6310-002159,ISUZU,DRAGONPOWER
CLM011A3-6306-000669,SUZUKI,VITARA
CLM011A3-6306-000673,TOYOTA,COROLLA HITORQ 1.6 GXI AT
CLM011BP-6310-002168,NISSAN,FRONTIER
CLM0112M-6302-001548,YAMAHA,NMAX
CLM0112M-6302-001552,HONDA,PCX150
CLM011BP-6310-002177,TOYOTA,VIGO
CLM011A3-6306-000687,TOYOTA,YARIS
CLM011A3-6306-000691,TOYOTA,COROLLA
CLM011BP-6310-002186,ISUZU,DMAX
CLM0112M-6302-001566,YAMAHA,SPARK115i
CLM011A3-6306-000702,FORD,RANGER
CLM0112M-6302-001570,HONDA,WAVE125 i
CLM011BP-6310-002195,FORD,ESCAPE
CLM011A3-6306-000716,TOYOTA,COROLLA
CLM011BP-6310-002208,ISUZU,DMAX
CLM0112M-6302-001584,HONDA,CB650F
CLM011A3-6306-000720,TOYOTA,COROLLA
CLM011BP-6310-002217,ISUZU,SPACECAB SLX 2.5
CLM0112M-6302-001598,HONDA,CLICK I
CLM011A3-6306-000734,TOYOTA,COROLLA
CLM011BP-6310-002226,TOYOTA,VIGO
CLM0112M-6302-001609,HONDA,CLICK125 I
CLM011BP-6310-002235,ISUZU,DMAX
CLM0112M-6302-001613,HONDA,CLICK125 I
CLM011A3-6306-000748,ISUZU,FTR32
CLM011A3-6306-000752,ISUZU,SPACECAB SL
CLM011BP-6310-002244,TOYOTA,TIGER
CLM0112M-6302-001627,YAMAHA,NMAX
CLM011BP-6310-002253,ISUZU,DMAX
CLM0112M-6302-001631,YAMAHA,NMAX
CLM011A3-6306-000766,ISUZU,NLR 130
CLM011BP-6310-002262,TOYOTA,COROLLA SALOON1.5 GXI AT
CLM0112M-6302-001645,YAMAHA,FILANO
CLM011BP-6310-002271,TOYOTA,HIACE
CLM011A3-6306-000784,HONDA,ACCORD
CLM011BP-6310-002280,TOYOTA,ALTIS
CLM0112M-6302-001659,HONDA,CBR150R
CLM0112M-6302-001663,YAMAHA,AEROX155
CLM011A3-6306-000798,TOYOTA,COROLLA HITORQ 1.6 GXI AT
CLM011BP-6310-002299,NISSAN,FRONTIER
CLM011A3-6306-000809,TOYOTA,COROLLA
CLM0112M-6302-001677,HONDA,WAVE125
CLM011BP-6310-002302,ISUZU,SPACECAB SLX 2.5
CLM0112M-6302-001681,HONDA,WAVE125 i
CLM011BP-6310-002311,NISSAN,TIIDA 1.6
CLM011A3-6306-000827,TOYOTA,COROLLA
CLM0112M-6302-001695,HONDA,PCX150
CLM011BP-6310-002320,ISUZU,DRAGON EYE
CLM011A3-6306-000831,HONDA,CITY
CLM0112M-6302-001706,HONDA,WAVE Z
CLM0112M-6302-001710,HONDA,WAVE125 X
CLM011A3-6306-000845,TOYOTA,COROLLA
CLM011BP-6310-002339,HONDA,CITY
CLM0112M-6302-001724,YAMAHA,-
CLM011BP-6310-002348,TOYOTA,HIACE
CLM011A3-6306-000859,FORD,ASPIRE GL
CLM011A3-6306-000863,MERCEDES-BENZ,230E/AT
CLM011BP-6310-002357,ISUZU,SPARK EX
CLM0112M-6302-001738,YAMAHA,YZF-R15
CLM0112M-6302-001742,HONDA,WAVE125 i
CLM011BP-6310-002366,TOYOTA,VIGO
CLM011A3-6306-000877,MAZDA,BT-50 2500
CLM011A3-6306-000881,TOYOTA,ALTIS
CLM0112M-6302-001756,HONDA,CLICK I
CLM0112M-6302-001760,VESPA,#N/A
CLM011A3-6306-000895,TOYOTA,ALTIS
CLM011A3-6306-000906,FORD,ESCAPE
CLM0112M-6302-001774,HONDA,PCX
CLM011A3-6306-000910,NISSAN,SUNNY
CLM0112M-6302-001788,ROYAL ENFIELD,CONTINENTAL
CLM011A3-6306-000924,TOYOTA,COROLLA
CLM0112M-6302-001792,KAWASAKI,NINJA300
CLM0112M-6302-001803,DUCATI,-
CLM011A3-6306-000938,CHEVROLET,COLORADO C-CAB
CLM011A3-6306-000942,TOYOTA,COROLLA
CLM0112M-6302-001817,HONDA,PCX150E
CLM0112M-6302-001821,HONDA,WAVE110i
CLM011A3-6306-000956,ISUZU,DMAX
CLM011A3-6306-000960,TOYOTA,PRIUS
CLM0112M-6302-001835,VESPA,PRIMAVERA 150 3V IE
CLM011A3-6306-000974,HINO,-
CLM0112M-6302-001849,BENELLI,BJ600
CLM0112M-6302-001853,YAMAHA,AEROX155
CLM011A3-6306-000988,NISSAN,BIG M PREMCAB
CLM011A3-6306-000992,TOYOTA,COROLLA HITORQ 1.6 GXI
CLM0112M-6302-001867,KAWASAKI,VERSYS
CLM0112M-6302-001871,SUZUKI,GSXR150
